HCHO Reading,Location,Current Date,Next Date
0.0001877353206509,"Deniyaya, Matara",2019-12-18,2019-12-19
5.3307634495522295e-05,"Deniyaya, Matara",2019-12-19,2019-12-20
,"Deniyaya, Matara",2019-12-20,2019-12-21
3.737863824244148e-05,"Deniyaya, Matara",2019-12-21,2019-12-22
,"Deniyaya, Matara",2019-12-22,2019-12-23
8.239901598712222e-05,"Deniyaya, Matara",2019-12-23,2019-12-24
0.0001175895423397,"Deniyaya, Matara",2019-12-24,2019-12-25
6.322827935514696e-05,"Deniyaya, Matara",2019-12-25,2019-12-26
0.0002801681133864,"Deniyaya, Matara",2019-12-26,2019-12-27
2.508077095769896e-05,"Deniyaya, Matara",2019-12-27,2019-12-28
,"Deniyaya, Matara",2019-12-28,2019-12-29
0.0001125148774131,"Deniyaya, Matara",2019-12-29,2019-12-30
5.958212666452036e-05,"Deniyaya, Matara",2019-12-30,2019-12-31
3.443339602476807e-05,"Deniyaya, Matara",2019-12-31,2020-01-01
5.582477187917614e-05,"Deniyaya, Matara",2020-01-01,2020-01-02
4.323339089751243e-05,"Deniyaya, Matara",2020-01-02,2020-01-03
0.0001348303220805,"Deniyaya, Matara",2020-01-03,2020-01-04
7.345198097368317e-05,"Deniyaya, Matara",2020-01-04,2020-01-05
2.321362493548122e-05,"Deniyaya, Matara",2020-01-05,2020-01-06
5.4160664857132805e-05,"Deniyaya, Matara",2020-01-06,2020-01-07
8.050683431295243e-05,"Deniyaya, Matara",2020-01-07,2020-01-08
4.716895767844027e-05,"Deniyaya, Matara",2020-01-08,2020-01-09
0.0001577781896422,"Deniyaya, Matara",2020-01-09,2020-01-10
0.0001793478869622,"Deniyaya, Matara",2020-01-10,2020-01-11
9.41050512969195e-05,"Deniyaya, Matara",2020-01-11,2020-01-12
,"Deniyaya, Matara",2020-01-12,2020-01-13
0.0001152762997662,"Deniyaya, Matara",2020-01-13,2020-01-14
,"Deniyaya, Matara",2020-01-14,2020-01-15
3.034482369753957e-05,"Deniyaya, Matara",2020-01-15,2020-01-16
7.061637462092352e-06,"Deniyaya, Matara",2020-01-16,2020-01-17
,"Deniyaya, Matara",2020-01-17,2020-01-18
-3.063655407360958e-05,"Deniyaya, Matara",2020-01-18,2020-01-19
0.0002380160347689,"Deniyaya, Matara",2020-01-19,2020-01-20
8.649788570140081e-05,"Deniyaya, Matara",2020-01-20,2020-01-21
5.912812620378361e-05,"Deniyaya, Matara",2020-01-21,2020-01-22
0.0001127059149439,"Deniyaya, Matara",2020-01-22,2020-01-23
4.176835190634863e-05,"Deniyaya, Matara",2020-01-23,2020-01-24
0.0001065585373179,"Deniyaya, Matara",2020-01-24,2020-01-25
0.0001661374720926,"Deniyaya, Matara",2020-01-25,2020-01-26
7.276855495625505e-05,"Deniyaya, Matara",2020-01-26,2020-01-27
,"Deniyaya, Matara",2020-01-27,2020-01-28
6.942144958326742e-05,"Deniyaya, Matara",2020-01-28,2020-01-29
0.0001887968234636,"Deniyaya, Matara",2020-01-29,2020-01-30
7.285972572016812e-05,"Deniyaya, Matara",2020-01-30,2020-01-31
0.0002529024599017,"Deniyaya, Matara",2020-01-31,2020-02-01
0.0001415127839008,"Deniyaya, Matara",2020-02-01,2020-02-02
7.155292117745567e-05,"Deniyaya, Matara",2020-02-02,2020-02-03
3.034274868696229e-06,"Deniyaya, Matara",2020-02-03,2020-02-04
,"Deniyaya, Matara",2020-02-04,2020-02-05
,"Deniyaya, Matara",2020-02-05,2020-02-06
0.0002128889628819,"Deniyaya, Matara",2020-02-06,2020-02-07
9.207190091336028e-05,"Deniyaya, Matara",2020-02-07,2020-02-08
,"Deniyaya, Matara",2020-02-08,2020-02-09
0.0001354965851584,"Deniyaya, Matara",2020-02-09,2020-02-10
